runId,runDurationSec,minBatchIntervalSec,maxBatchIntervalSec,producerInstances,producersPerInstance,minMsgSizeKb,maxMsgSizeKb,minBatchSize,maxBatchSize,avgMs,medianMs,q90ms,q95ms,q99ms,consumedMessages,consumerErrors,producedMessages,producerErrors
1,60,500,500,3,1,200,200,1,1,44.19,36.0,57,84,199,339,0,339,0
2,60,250,250,3,1,200,200,1,1,40.85,34.0,56,74,200,652,0,652,0
3,60,100,100,3,1,200,200,1,1,44.8,36.0,62,78,230,1405,0,1406,0
4,60,500,500,3,1,480,480,1,1,66.69,55.5,95,140,258,330,0,330,0
5,60,250,250,3,1,480,480,1,1,63.5,54.5,87,105,297,618,0,619,0
6,60,100,100,3,1,480,480,1,1,76.39,65.0,119,150,232,1219,0,1220,0
7,60,500,500,3,1,200,200,2,2,66.4,62.0,93,115,238,630,0,630,0
8,60,250,250,3,1,200,200,2,2,64.54,62.0,86,105,289,1134,0,1134,0
9,60,100,100,3,1,200,200,2,2,116.0,105.0,168,221,388,1655,0,1656,0
10,60,500,500,3,1,480,480,2,2,100.59,87.0,132,164,509,600,0,600,0
11,60,250,250,3,1,480,480,2,2,99.22,92.0,136,161,266,1040,0,1040,0
12,60,100,100,3,1,480,480,2,2,123.06,112.0,172,213,374,1658,0,1658,0
13,60,500,500,3,1,200,200,4,4,113.18,106.0,161,189,361,1099,0,1096,0
14,60,250,250,3,1,200,200,4,4,120.31,114.0,176,205,364,1753,0,1752,0
15,60,100,100,3,1,200,200,4,4,263.62,256.0,326,356,471,1775,0,1776,0
16,60,500,500,3,1,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,316
17,60,250,250,3,1,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,563
18,60,100,100,3,1,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,1086
19,60,500,500,3,2,200,200,1,1,54.27,41.0,85,120,354,667,0,667,0
20,60,250,250,3,2,200,200,1,1,46.97,37.0,67,92,209,1279,0,1279,0
21,60,100,100,3,2,200,200,1,1,121.5,111.0,153,173,346,1758,0,1758,0
22,60,500,500,3,2,480,480,1,1,65.61,56.0,99,129,198,661,0,663,0
23,60,250,250,3,2,480,480,1,1,84.49,66.0,125,176,496,1179,0,1179,0
24,60,100,100,3,2,480,480,1,1,155.62,140.0,208,273,489,1625,0,1627,0
25,60,500,500,3,2,200,200,2,2,75.1,66.0,107,145,348,1243,0,1242,0
26,60,250,250,3,2,200,200,2,2,171.56,158.0,241,285,402,1693,0,1692,0
27,60,100,100,3,2,200,200,2,2,306.29,301.0,369,416,517,1756,0,1756,0
28,60,500,500,3,2,480,480,2,2,119.31,98.0,173,240,624,1171,0,1172,0
29,60,250,250,3,2,480,480,2,2,232.77,205.0,334,433,653,1534,0,1534,0
30,60,100,100,3,2,480,480,2,2,338.91,324.0,421,459,712,1663,0,1664,0
31,60,500,500,3,2,200,200,4,4,281.67,266.0,374,451,680,1741,0,1740,0
32,60,250,250,3,2,200,200,4,4,533.85,520.5,662,745,950,1738,0,1736,0
33,60,100,100,3,2,200,200,4,4,677.59,673.0,799,848,1010,1750,0,1748,0
34,60,500,500,3,2,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,629
35,60,250,250,3,2,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,1121
36,60,100,100,3,2,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,2068
37,60,500,500,3,4,200,200,1,1,54.25,40.0,79,113,392,1331,0,1331,0
38,60,250,250,3,4,200,200,1,1,177.85,166.0,230,285,386,1744,0,1745,0
39,60,100,100,3,4,200,200,1,1,374.5,362.0,490,577,811,1584,0,1584,0
40,60,500,500,3,4,480,480,1,1,93.3,69.0,154,220,584,1269,0,1269,0
41,60,250,250,3,4,480,480,1,1,229.91,209.0,321,390,591,1616,0,1617,0
42,60,100,100,3,4,480,480,1,1,382.84,368.0,491,579,697,1600,0,1600,0
43,60,500,500,3,4,200,200,2,2,340.62,319.0,453,520,835,1698,0,1698,0
44,60,250,250,3,4,200,200,2,2,578.89,568.0,697,766,904,1719,0,1718,0
45,60,100,100,3,4,200,200,2,2,737.43,747.0,877,920,1184,1703,0,1702,0
46,60,500,500,3,4,480,480,2,2,459.31,425.0,624,743,1205,1522,0,1522,0
47,60,250,250,3,4,480,480,2,2,685.09,648.0,909,1034,1559,1554,0,1554,0
48,60,100,100,3,4,480,480,2,2,814.2,808.0,1022,1100,1276,1581,0,1582,0
49,60,500,500,3,4,200,200,4,4,1285.56,1310.5,1634,1754,2508,1550,0,1548,0
50,60,250,250,3,4,200,200,4,4,1408.13,1429.0,1666,1749,1959,1674,0,1676,0
51,60,100,100,3,4,200,200,4,4,1559.24,1544.0,1803,1905,2442,1669,0,1668,0
52,60,500,500,3,4,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,1243
53,60,250,250,3,4,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,2187
54,60,100,100,3,4,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,3790
55,60,500,500,3,8,200,200,1,1,369.32,359.0,482,597,815,1681,0,1681,0
56,60,250,250,3,8,200,200,1,1,679.94,645.0,892,1017,2065,1576,0,1576,0
57,60,100,100,3,8,200,200,1,1,775.73,774.0,933,1016,1313,1670,0,1671,0
58,60,500,500,3,8,480,480,1,1,442.45,409.0,639,687,966,1576,0,1577,0
59,60,250,250,3,8,480,480,1,1,858.49,825.0,1236,1534,2051,1391,0,1391,0
60,60,100,100,3,8,480,480,1,1,849.5,847.0,1077,1160,1338,1567,0,1569,0
61,60,500,500,3,8,200,200,2,2,1200.99,1193.0,1455,1641,1798,1667,0,1666,0
62,60,250,250,3,8,200,200,2,2,1473.0,1485.0,1820,1897,1989,1645,0,1646,0
63,60,100,100,3,8,200,200,2,2,1645.67,1690.0,1949,2211,2489,1625,0,1624,0
64,60,500,500,3,8,480,480,2,2,1336.43,1339.0,1627,1802,1922,1554,0,1556,0
65,60,250,250,3,8,480,480,2,2,1603.95,1615.0,1904,1987,2132,1538,0,1538,0
66,60,100,100,3,8,480,480,2,2,1849.63,1928.0,2301,2467,2649,1470,0,1472,0
67,60,500,500,3,8,200,200,4,4,3008.7,3202.5,3556,3685,3870,1576,0,1576,0
68,60,250,250,3,8,200,200,4,4,3231.53,3434.0,3895,3971,4242,1585,0,1584,0
69,60,100,100,3,8,200,200,4,4,3599.16,3796.0,4429,4595,5080,1488,0,1488,0
70,60,500,500,3,8,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,2429
71,60,250,250,3,8,480,480,4,4,-1,-1,-1,-1,-1,0,0,0,3954
